# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = model_model
# start_datetime = 2023-05-02 19:37:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmp3g0x3jh1/x7bkrd9n.json
# init = 2 (Default)
# random
#   seed = 59206
# output
#   file = /home/lab5/output/model-20230502193727_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10
# Adaptation terminated
# Step size = 0.0986695
# Diagonal elements of inverse mass matrix:
# 0.243526, 0.0825443
515.601,0.984651,0.0986695,1,3,0,-515.545,4.91088,-1.03155,33.6767,30.1521,25.6647,23.4748,22.0891,21.2624,21.8449,20.5931,17.1444,17.9563
517.084,0.997522,0.0986695,5,43,0,-513.839,3.8011,-0.355845,27.6659,26.6307,25.1908,24.4275,23.9201,23.6075,23.8286,23.3484,21.9179,22.2705
517.073,0.998363,0.0986695,3,11,0,-517.04,3.79244,-0.378269,26.6084,25.5513,24.0853,23.3102,22.7959,22.4793,22.7032,22.2172,20.773,21.1285
517.152,0.995205,0.0986695,2,3,0,-517.054,3.81163,-0.375367,27.2307,26.1569,24.6673,23.8796,23.3567,23.0348,23.2624,22.7682,21.2992,21.6608
517.135,0.745492,0.0986695,2,3,0,-515.443,3.84766,-0.386446,27.8101,26.6818,25.1188,24.2934,23.7459,23.409,23.6472,23.1302,21.5953,21.9728
515.933,0.999154,0.0986695,5,35,0,-515.628,4.82388,-0.973488,33.3904,30.0824,25.8387,23.7528,22.4274,21.6345,22.1933,20.9912,17.6571,18.445
516.164,0.743892,0.0986695,3,11,0,-513.866,4.70005,-0.910507,32.1223,29.1359,25.2731,23.3598,22.1384,21.4055,21.9222,20.8096,17.7013,18.4391
515.929,0.901643,0.0986695,3,11,0,-515.16,4.5486,-0.847794,30.0496,27.4397,24.0362,22.3372,21.2478,20.592,21.0545,20.0577,17.2529,17.9216
516.482,0.980134,0.0986695,2,7,0,-515.709,4.61951,-0.846903,32.2969,29.4947,25.8398,24.0152,22.8451,22.1408,22.6375,21.5669,18.554,19.2723
516.903,0.976539,0.0986695,5,47,0,-515.348,4.25317,-0.610044,30.8375,28.8859,26.2603,24.9111,24.0307,23.4947,23.8732,23.0544,20.6862,21.26
516.885,0.939104,0.0986695,2,7,0,-516.513,4.20428,-0.627013,28.7002,26.835,24.3313,23.0473,22.2105,21.7015,22.0609,21.2837,19.0398,19.5829
516.294,0.999644,0.0986695,5,51,0,-516.249,3.28031,-0.0910209,23.507,23.2788,22.9501,22.7702,22.6483,22.5722,22.6261,22.5086,22.1475,22.2381
