# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = model_model
# start_datetime = 2023-05-02 19:37:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/tmp3g0x3jh1/x7bkrd9n.json
# init = 2 (Default)
# random
#   seed = 59206
# output
#   file = /home/lab5/output/model-20230502193727_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10
# Adaptation terminated
# Step size = 0.0879736
# Diagonal elements of inverse mass matrix:
# 0.258552, 0.0868116
517.094,0.998233,0.0879736,3,15,0,-516.7,3.72009,-0.32133,26.7313,25.8264,24.562,23.889,23.4405,23.1637,23.3595,22.934,21.6613,21.9757
517.099,0.890697,0.0879736,2,3,0,-516.261,3.75654,-0.351297,26.6233,25.6396,24.2705,23.5444,23.0616,22.7639,22.9744,22.5173,21.1548,21.4908
517.089,0.997462,0.0879736,1,1,0,-517.084,3.75659,-0.352982,26.5639,25.5778,24.2057,23.4781,22.9943,22.6961,22.907,22.4491,21.0844,21.4208
516.634,0.961339,0.0879736,4,31,0,-514.895,4.39776,-0.688128,32.0658,29.7861,26.7504,25.2052,24.2027,23.5947,24.0239,23.0966,20.4385,21.0791
516.838,0.960802,0.0879736,1,3,0,-516.34,4.35667,-0.707703,29.9714,27.7823,24.8747,23.3982,22.4416,21.862,22.2711,21.3875,18.8604,19.4686
517.056,0.985685,0.0879736,5,43,0,-516.173,3.67414,-0.295567,26.4352,25.6109,24.4554,23.8383,23.4263,23.1717,23.3518,22.9603,21.7857,22.0764
516.988,0.982058,0.0879736,2,3,0,-516.959,3.68957,-0.289758,27.058,26.2307,25.0699,24.4496,24.0353,23.7791,23.9603,23.5664,22.3839,22.6766
515.781,0.83173,0.0879736,4,31,0,-514.925,4.01583,-0.557615,26.108,24.5935,22.542,21.4809,20.7859,20.3617,20.6614,20.0127,18.125,18.584
517.184,0.984093,0.0879736,4,31,0,-515.231,3.99704,-0.48539,28.249,26.8171,24.8589,23.8372,23.1645,22.7524,23.0436,22.4126,20.5606,21.0131
517.072,0.937846,0.0879736,5,39,0,-515.508,3.70557,-0.308528,26.8055,25.9337,24.7135,24.0629,23.629,23.361,23.5505,23.1385,21.9043,22.2095
516.636,0.953585,0.0879736,5,47,0,-515.982,4.54434,-0.797316,32.0345,29.4109,25.9667,24.2369,23.1235,22.4518,22.9257,21.9035,19.0103,19.7024
