# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = model_model
# start_datetime = 2023-05-02 19:49:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmp3g0x3jh1/7nxfj759.json
# init = 2 (Default)
# random
#   seed = 6022023
# output
#   file = /home/lab5/output/model-20230502194923_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10
# Adaptation terminated
# Step size = 0.0995168
# Diagonal elements of inverse mass matrix:
# 0.242407, 0.0828413
512.986,0.828945,0.0995168,2,7,0,-512.359,2.42904,0.375131,18.8405,19.6134,20.7971,21.4827,21.9633,22.2701,22.0523,22.5306,24.0835,23.6817
512.692,0.793451,0.0995168,2,7,0,-511.035,2.4808,0.441297,21.6973,22.7482,24.3716,25.3195,25.9872,26.4147,26.1111,26.7786,28.9628,28.3952
513.621,0.982118,0.0995168,2,3,0,-512.677,2.44171,0.405937,19.8919,20.7764,22.1365,22.9272,23.4828,23.8379,23.5858,24.1399,25.9453,25.4772
513.621,0.879087,0.0995168,2,3,0,-513.017,2.44171,0.405937,19.8919,20.7764,22.1365,22.9272,23.4828,23.8379,23.5858,24.1399,25.9453,25.4772
515.213,0.753493,0.0995168,4,23,0,-509.833,3.49394,-0.26157,23.1141,22.4751,21.5753,21.0928,20.7699,20.57,20.7114,20.4038,19.4773,19.7071
514.917,0.992781,0.0995168,3,11,0,-514.576,3.52118,-0.135054,28.1813,27.7763,27.1965,26.8807,26.6675,26.5346,26.6287,26.4237,25.7972,25.954
516.292,1,0.0995168,5,35,0,-514.699,4.22292,-0.566323,31.7395,29.8704,27.3414,26.0349,25.1796,24.6578,25.0264,24.2286,21.9093,22.4729
516.805,1,0.0995168,2,7,0,-516.35,4.18524,-0.621021,28.388,26.5601,24.1046,22.8444,22.0228,21.5228,21.8759,21.1123,18.9067,19.4407
515.795,0.822576,0.0995168,3,11,0,-515.067,4.04198,-0.572298,26.2733,24.7102,22.5971,21.5061,20.7923,20.3569,20.6644,19.9989,18.0653,18.535
