# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = model_model
# start_datetime = 2023-05-02 19:49:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmp3g0x3jh1/7nxfj759.json
# init = 2 (Default)
# random
#   seed = 6022023
# output
#   file = /home/lab5/output/model-20230502194923_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10
# Adaptation terminated
# Step size = 0.0908687
# Diagonal elements of inverse mass matrix:
# 0.24776, 0.0841698
516.946,0.995579,0.0908687,5,39,0,-516.546,4.33628,-0.671715,30.8301,28.6887,25.831,24.3735,23.4267,22.852,23.2577,22.381,19.8631,20.4706
517.097,0.999868,0.0908687,5,43,0,-516.48,3.75062,-0.347616,26.5981,25.6254,24.2711,23.5524,23.0744,22.7798,22.9882,22.5355,21.1858,21.5187
516.854,0.954563,0.0908687,4,27,0,-516.551,4.00342,-0.517062,27.2386,25.7703,23.7707,22.7313,22.0486,21.631,21.926,21.287,19.4185,19.8741
516.822,0.931962,0.0908687,4,27,0,-515.663,3.88853,-0.388032,28.9084,27.7308,26.0999,25.2388,24.6677,24.3163,24.5647,24.0255,22.4248,22.8185
514.91,0.812598,0.0908687,4,23,0,-514.392,4.05809,-0.599921,25.7216,24.1199,21.9623,20.8521,20.1272,19.6856,19.9975,19.3228,17.3691,17.8428
516.384,0.98494,0.0908687,4,23,0,-513.541,4.47913,-0.79488,30.111,27.6521,24.4233,22.8011,21.7567,21.1266,21.5712,20.6122,17.8974,18.5469
516.872,0.911425,0.0908687,5,39,0,-515.503,3.51651,-0.204468,25.5384,24.9849,24.1995,23.7754,23.4904,23.3135,23.4387,23.1661,22.3396,22.5454
516.924,0.893973,0.0908687,2,3,0,-516.093,3.55573,-0.226553,25.779,25.1606,24.2858,23.8147,23.4986,23.3025,23.4412,23.1394,22.2265,22.4535
516.027,0.818558,0.0908687,2,7,0,-515.451,3.5356,-0.266686,23.9313,23.257,22.308,21.7995,21.4593,21.2487,21.3977,21.0737,20.0985,20.3403
516.371,0.901102,0.0908687,2,3,0,-514.469,3.59939,-0.294956,24.5515,23.7876,22.7164,22.1444,21.7625,21.5264,21.6934,21.3305,20.2414,20.5109
516.371,0.626364,0.0908687,2,3,0,-511.417,3.59939,-0.294956,24.5515,23.7876,22.7164,22.1444,21.7625,21.5264,21.6934,21.3305,20.2414,20.5109
516.406,0.924996,0.0908687,4,23,0,-514.641,3.44694,-0.133701,26.213,25.84,25.306,25.0151,24.8186,24.6962,24.7829,24.594,24.0167,24.1611
516.414,0.909321,0.0908687,2,3,0,-515.61,3.45664,-0.138922,26.2822,25.8938,25.3379,25.0354,24.8311,24.7038,24.7939,24.5977,23.9979,24.1479
516.535,0.941952,0.0908687,2,3,0,-515.854,3.42488,-0.129382,25.791,25.4359,24.927,24.6497,24.4623,24.3455,24.4282,24.248,23.697,23.8349
516.548,0.886946,0.0908687,2,3,0,-515.666,3.40791,-0.163816,24.204,23.7827,23.1819,22.8558,22.6361,22.4994,22.5961,22.3854,21.7432,21.9035
516.72,0.992082,0.0908687,1,3,0,-516.482,3.42891,-0.148119,25.2476,24.85,24.2817,23.9727,23.7642,23.6344,23.7262,23.5261,22.915,23.0677
515.498,0.798585,0.0908687,2,3,0,-514.854,3.50572,-0.138189,27.6317,27.2255,26.6441,26.3276,26.1139,25.9808,26.0751,25.8698,25.2423,25.3992
515.758,0.694269,0.0908687,2,3,0,-512.085,3.539,-0.162239,27.6533,27.1766,26.4966,26.1275,25.8786,25.7239,25.8334,25.5948,24.8675,25.0491
515.758,0.72722,0.0908687,1,1,0,-514.713,3.539,-0.162239,27.6533,27.1766,26.4966,26.1275,25.8786,25.7239,25.8334,25.5948,24.8675,25.0491
515.858,0.999358,0.0908687,5,39,0,-514.296,4.84671,-0.964577,34.5752,31.1795,26.8184,24.6724,23.3079,22.4913,23.0669,21.8285,18.3905,19.2036
516.511,0.994845,0.0908687,4,19,0,-515.686,4.56715,-0.828663,31.4141,28.7446,25.2545,23.5083,22.387,21.7114,22.1879,21.1607,18.2636,18.9551
516.62,0.999959,0.0908687,3,15,0,-516.39,4.53337,-0.782879,32.3094,29.7092,26.2893,24.5687,23.46,22.7906,23.2629,22.2441,19.3555,20.0471
516.496,0.97765,0.0908687,4,17,0,-516.149,4.57772,-0.834182,31.512,28.8171,25.2964,23.5361,22.4061,21.7255,22.2056,21.1708,18.2544,18.9503
517.095,0.998502,0.0908687,5,39,0,-516.255,4.13832,-0.55287,29.7,27.9914,25.6754,24.4769,23.6916,23.2122,23.5509,22.8177,20.6828,21.2021
517.048,0.999988,0.0908687,5,39,0,-516.992,3.69061,-0.313421,26.2334,25.3669,24.1549,23.5091,23.0785,22.8126,23.0007,22.592,21.3682,21.6707
517.012,0.93278,0.0908687,5,47,0,-515.465,4.29252,-0.655372,30.1693,28.123,25.3864,23.9878,23.0783,22.5258,22.9158,22.0726,19.6464,20.2324
516.91,0.955076,0.0908687,4,19,0,-516.557,4.12912,-0.584832,28.1838,26.4716,24.1604,22.9691,22.1903,21.7156,22.0509,21.3253,19.2206,19.7314
516.317,0.997469,0.0908687,4,31,0,-515.292,4.63383,-0.832295,33.4157,30.5642,26.838,24.9745,23.7781,23.0575,23.5657,22.47,19.3812,20.1183
514.219,0.652991,0.0908687,1,3,0,-514.097,4.67593,-0.799893,36.4128,33.4214,29.4957,27.5247,26.2563,25.4911,26.0309,24.8666,21.5721,22.3601
514.567,0.979028,0.0908687,3,15,0,-512.223,4.36917,-0.782076,27.4464,25.2397,22.3372,20.8766,19.9355,19.3673,19.7682,18.9033,16.4508,17.0381
516.799,0.966627,0.0908687,1,3,0,-514.221,4.45246,-0.74494,31.3656,28.9589,25.7777,24.1697,23.1307,22.5023,22.9458,21.9885,19.2625,19.9169
517.024,0.999983,0.0908687,4,21,0,-516.689,4.28181,-0.648988,30.1064,28.0836,25.3761,23.9914,23.0904,22.5429,22.9294,22.0938,19.6875,20.269
517.115,0.612939,0.0908687,4,31,0,-511.32,3.84902,-0.409111,27.0078,25.8493,24.249,23.4062,22.8482,22.5052,22.7477,22.2215,20.6635,21.0462
516.642,0.955033,0.0908687,5,47,0,-515.336,4.19855,-0.635532,28.2097,26.3523,23.8618,22.586,21.755,21.2497,21.6065,20.8351,18.6104,19.1485
516.502,0.983824,0.0908687,4,23,0,-516.134,3.85131,-0.442258,25.884,24.6858,23.038,22.1737,21.6028,21.2524,21.5,20.9629,19.3787,19.7669
516.862,1,0.0908687,1,1,0,-516.556,3.85859,-0.432267,26.4275,25.2312,23.5837,22.7185,22.1466,21.7955,22.0437,21.5053,19.9154,20.3053
516.701,0.999934,0.0908687,4,23,0,-516.266,3.62343,-0.237699,27.1722,26.4888,25.5232,25.004,24.6559,24.4402,24.5928,24.2607,23.2574,23.5067
516.563,0.978359,0.0908687,3,15,0,-516.128,3.49809,-0.223215,24.4451,23.8673,23.0494,22.6088,22.3131,22.1297,22.2595,21.9771,21.1225,21.335
516.508,1,0.0908687,2,7,0,-516.375,3.50212,-0.166137,26.512,26.0441,25.3769,25.015,24.7711,24.6194,24.7267,24.4928,23.7804,23.9583
516.724,0.964482,0.0908687,1,3,0,-516.206,3.45598,-0.183217,24.7387,24.2577,23.5733,23.2028,22.9534,22.7984,22.9081,22.6693,21.9432,22.1243
516.554,0.8847,0.0908687,3,15,0,-515.255,3.3735,-0.107765,25.2257,24.936,24.5198,24.2924,24.1384,24.0424,24.1104,23.9622,23.5078,23.6217
516.55,0.986057,0.0908687,2,3,0,-516.419,3.3475,-0.118831,24.2133,23.9069,23.4672,23.2273,23.0651,22.964,23.0356,22.8795,22.4015,22.5212
516.631,0.960539,0.0908687,5,35,0,-513.532,4.20031,-0.636923,28.2064,26.3452,23.8503,22.5723,21.7401,21.2341,21.5914,20.8188,18.5912,19.13
513.958,0.942133,0.0908687,5,39,0,-511.768,5.15509,-1.20793,33.874,29.7608,24.6433,22.1993,20.6728,19.7698,20.4054,19.043,15.3648,16.2201
513.942,0.825687,0.0908687,1,3,0,-511.984,5.21612,-1.15021,38.9267,34.4122,28.7529,26.031,24.3236,23.3108,24.0239,22.4941,18.3364,19.3071
514.629,1,0.0908687,1,3,0,-514.016,5.19788,-1.17281,37.0733,32.6945,27.2214,24.5963,22.9524,21.9784,22.6641,21.1934,17.2069,18.1362
514.782,0.983215,0.0908687,2,3,0,-514.458,5.13819,-1.16557,35.2685,31.127,25.9456,23.4583,21.8998,20.976,21.6264,20.2315,16.447,17.3296
516.252,0.990426,0.0908687,5,51,0,-512.508,3.19248,-0.0172246,23.7886,23.7447,23.6809,23.6457,23.6217,23.6066,23.6173,23.594,23.5219,23.5401
516.907,0.989131,0.0908687,4,23,0,-516.062,3.54557,-0.21845,25.7994,25.2024,24.3569,23.9011,23.5952,23.4054,23.5397,23.2473,22.3623,22.5825
516.842,0.965776,0.0908687,3,11,0,-516.574,3.49701,-0.196451,25.318,24.7906,24.0414,23.6364,23.3642,23.1951,23.3147,23.0542,22.2634,22.4604
516.858,0.979,0.0908687,4,19,0,-516.557,3.61436,-0.241962,26.7721,26.0868,25.1192,24.5992,24.2506,24.0346,24.1874,23.855,22.8511,23.1005
516.89,1,0.0908687,1,1,0,-516.848,3.61464,-0.24457,26.6853,25.995,25.0206,24.497,24.1462,23.9288,24.0826,23.7481,22.7382,22.989
512.385,0.555053,0.0908687,5,35,0,-508.771,2.61169,0.235964,18.7386,19.2185,19.9401,20.3511,20.6364,20.8172,20.6889,20.9701,21.8679,21.6377
514.065,0.801595,0.0908687,3,15,0,-508.86,2.99542,0.0235967,20.6416,20.6938,20.7702,20.8127,20.8417,20.8598,20.847,20.8751,20.9628,20.9406
515.441,0.99515,0.0908687,2,7,0,-513.937,3.02389,0.10885,23.8312,24.1108,24.5243,24.7562,24.9156,25.0161,24.9449,25.1007,25.5909,25.4662
514.345,0.636326,0.0908687,2,7,0,-512.026,2.98277,0.0379881,20.7825,20.8672,20.9914,21.0605,21.1077,21.1374,21.1164,21.1623,21.3056,21.2694
515.363,0.652501,0.0908687,2,3,0,-510.258,3.06162,0.0944312,24.2701,24.5169,24.8812,25.0852,25.2253,25.3136,25.251,25.3878,25.8174,25.7082
515.604,1,0.0908687,1,1,0,-515.403,3.05474,0.0878,23.8885,24.1144,24.4474,24.6337,24.7616,24.8421,24.785,24.9098,25.3014,25.202
515.645,0.964669,0.0908687,2,3,0,-515.268,3.04104,0.0426937,22.1699,22.2716,22.4206,22.5035,22.5603,22.5959,22.5706,22.6258,22.7981,22.7545
516.917,0.993232,0.0908687,5,35,0,-515.134,3.85018,-0.424444,26.4846,25.3069,23.6834,22.83,22.2655,21.9188,22.1639,21.6323,20.0609,20.4464
